[001]Pressure   [002]radm   [003]AVmax   [004]I(C+, 158 um)   [005]I(O, 145 um)
3.5000e+07   1.0000e+01   1.0000e+00   1.8386e-07   8.3942e-08
3.5000e+07   1.0000e+02   1.0000e+00   1.1692e-05   7.9169e-06
3.5000e+07   1.0000e+03   1.0000e+00   1.4282e-04   1.6040e-04
3.5000e+07   1.0000e+04   1.0000e+00   3.2442e-04   4.9555e-04
3.5000e+07   1.0000e+05   1.0000e+00   3.5088e-04   5.8870e-04
3.5000e+07   3.5000e+00   1.0000e+00   1.5253e-08   3.7789e-09
3.5000e+07   3.5000e+01   1.0000e+00   2.0067e-06   1.2745e-06
3.5000e+07   3.5000e+02   1.0000e+00   6.0383e-05   5.2311e-05
3.5000e+07   3.5000e+03   1.0000e+00   2.6058e-04   3.4974e-04
3.5000e+07   3.5000e+04   1.0000e+00   3.4348e-04   5.7373e-04
3.5000e+08   1.0000e+00   1.0000e+00   1.1584e-11   7.0160e-11
3.5000e+08   1.0000e+01   1.0000e+00   9.3245e-10   1.5785e-09
3.5000e+08   1.0000e+02   1.0000e+00   5.5855e-07   1.3615e-06
3.5000e+08   1.0000e+03   1.0000e+00   2.8625e-05   1.0117e-04
3.5000e+08   1.0000e+04   1.0000e+00   1.5804e-04   5.3624e-04
3.5000e+08   1.0000e+05   1.0000e+00   3.2502e-04   9.1407e-04
3.5000e+08   3.5000e+00   1.0000e+00   6.8977e-11   3.8427e-10
3.5000e+08   3.5000e+01   1.0000e+00   4.2078e-08   5.5874e-08
3.5000e+08   3.5000e+02   1.0000e+00   6.1391e-06   2.0032e-05
3.5000e+08   3.5000e+03   1.0000e+00   8.3857e-05   3.0464e-04
3.5000e+08   3.5000e+04   1.0000e+00   2.5958e-04   8.0256e-04
1.0000e+05   1.0000e+00   1.0000e+01   4.6919e-06   6.3963e-09
1.0000e+05   1.0000e+01   1.0000e+01   3.1831e-05   3.2689e-07
1.0000e+05   1.0000e+02   1.0000e+01   8.2019e-05   3.2194e-06
1.0000e+05   1.0000e+03   1.0000e+01   1.3414e-04   7.5255e-06
1.0000e+05   1.0000e+04   1.0000e+01   1.9763e-04   1.0501e-05
1.0000e+05   1.0000e+05   1.0000e+01   2.7429e-04   1.9805e-05
1.0000e+05   3.5000e+00   1.0000e+01   1.3953e-05   4.0217e-08
1.0000e+05   3.5000e+01   1.0000e+01   5.8728e-05   1.5596e-06
1.0000e+05   3.5000e+02   1.0000e+01   1.0963e-04   5.5319e-06
1.0000e+05   3.5000e+03   1.0000e+01   1.6708e-04   9.5203e-06
1.0000e+05   3.5000e+04   1.0000e+01   2.3799e-04   1.1901e-05
1.0000e+06   1.0000e+00   1.0000e+01   1.1977e-06   3.2486e-08
1.0000e+06   1.0000e+01   1.0000e+01   2.0427e-05   8.3474e-07
1.0000e+06   1.0000e+02   1.0000e+01   1.3194e-04   1.3616e-05
1.0000e+06   1.0000e+03   1.0000e+01   2.9027e-04   5.0592e-05
1.0000e+06   1.0000e+04   1.0000e+01   4.6253e-04   9.6636e-05
1.0000e+06   1.0000e+05   1.0000e+01   6.4656e-04   1.3472e-04
1.0000e+06   3.5000e+00   1.0000e+01   5.3315e-06   1.8190e-07
1.0000e+06   3.5000e+01   1.0000e+01   6.9655e-05   4.5158e-06
1.0000e+06   3.5000e+02   1.0000e+01   2.1558e-04   3.1629e-05
1.0000e+06   3.5000e+03   1.0000e+01   3.8240e-04   7.5576e-05
1.0000e+06   3.5000e+04   1.0000e+01   5.6155e-04   1.1926e-04
1.0000e+07   1.0000e+00   1.0000e+01   1.9063e-08   1.5220e-09
1.0000e+07   1.0000e+01   1.0000e+01   1.4171e-06   4.1189e-07
1.0000e+07   1.0000e+02   1.0000e+01   4.5623e-05   1.7593e-05
1.0000e+07   1.0000e+03   1.0000e+01   2.3490e-04   1.6723e-04
1.0000e+07   1.0000e+04   1.0000e+01   4.8678e-04   4.4007e-04
1.0000e+07   1.0000e+05   1.0000e+01   7.5491e-04   7.3516e-04
1.0000e+07   1.9000e+02   1.0000e+01   8.5666e-05   4.0078e-05
1.0000e+07   1.9000e+03   1.0000e+01   3.0186e-04   2.3569e-04
